ingredient,raw_material,processing,dimension,unit_value
Linseed oil,Indonesia,Japan,biodiversity,0.46396908
Linseed oil,United States,Japan,biodiversity,0.438486655
Linseed oil,Vietnam,Japan,biodiversity,0.333304196
Linseed oil,Indonesia,Mexico,biodiversity,0.893021533
Linseed oil,United States,Mexico,biodiversity,0.539983993
Linseed oil,Vietnam,Mexico,biodiversity,0.62983419
Linseed oil,Indonesia,United States,biodiversity,0.306268708
Linseed oil,United States,United States,biodiversity,0.44583599
Linseed oil,Vietnam,United States,biodiversity,0.274367577
Methanobacterial meal,Japan,Pakistan,biodiversity,0.452218742
Methanobacterial meal,Nigeria,Pakistan,biodiversity,0.57629623
Methanobacterial meal,United States,Pakistan,biodiversity,0.5772493
Methanobacterial meal,Japan,Vietnam,biodiversity,0.805288247
Methanobacterial meal,Nigeria,Vietnam,biodiversity,0.809185705
Methanobacterial meal,United States,Vietnam,biodiversity,0.295383168
Pea flour,Brazil,Vietnam,biodiversity,0.525135221
Pea flour,Iran,Vietnam,biodiversity,0.551034895
Pea flour,Vietnam,Vietnam,biodiversity,0.570993063
Pea flour,Congo (DRC),Vietnam,biodiversity,0.186920761
Pea flour,Brazil,Pakistan,biodiversity,0.83779212
Pea flour,Iran,Pakistan,biodiversity,0.514046307
Pea flour,Vietnam,Pakistan,biodiversity,0.41721495
Pea flour,Congo (DRC),Pakistan,biodiversity,0.408101326
Pea flour,Brazil,Turkey,biodiversity,0.31805476
Pea flour,Iran,Turkey,biodiversity,0.708977688
Pea flour,Vietnam,Turkey,biodiversity,0.833326112
Pea flour,Congo (DRC),Turkey,biodiversity,0.541186366
Pea flour,Brazil,India,biodiversity,0.543272306
Pea flour,Iran,India,biodiversity,0.600079037
Pea flour,Vietnam,India,biodiversity,0.611769232
Pea flour,Congo (DRC),India,biodiversity,0.516138261
Pea protein concentrate,Germany,Brazil,biodiversity,0.61347694
Pea protein concentrate,Pakistan,Brazil,biodiversity,0.558235348
Pea protein concentrate,Germany,Pakistan,biodiversity,0.64566543
Pea protein concentrate,Pakistan,Pakistan,biodiversity,0.682590844
Pea protein concentrate,Germany,China,biodiversity,0.293456722
Pea protein concentrate,Pakistan,China,biodiversity,0.643934315
Soybean meal,Philippines,Ethiopia,biodiversity,0.106197743
Soybean meal,Nigeria,Ethiopia,biodiversity,0.660744217
Soybean meal,Pakistan,Ethiopia,biodiversity,0.72079393
Soybean meal,Germany,Ethiopia,biodiversity,0.740113851
Soybean meal,Japan,Ethiopia,biodiversity,0.467677614
Soybean meal,India,Ethiopia,biodiversity,0.737682946
Soybean meal,Philippines,Turkey,biodiversity,0.360920138
Soybean meal,Nigeria,Turkey,biodiversity,0.567300283
Soybean meal,Pakistan,Turkey,biodiversity,0.52025674
Soybean meal,Germany,Turkey,biodiversity,0.029904255
Soybean meal,Japan,Turkey,biodiversity,0.158645803
Soybean meal,India,Turkey,biodiversity,0.474452695
Soybean meal,Philippines,Philippines,biodiversity,0.462372917
Soybean meal,Nigeria,Philippines,biodiversity,0.670600069
Soybean meal,Pakistan,Philippines,biodiversity,0.848770133
Soybean meal,Germany,Philippines,biodiversity,0.6190294
Soybean meal,Japan,Philippines,biodiversity,0.349086928
Soybean meal,India,Philippines,biodiversity,0.460455981
Soybean meal,Philippines,China,biodiversity,0.210058644
Soybean meal,Nigeria,China,biodiversity,0.44608797
Soybean meal,Pakistan,China,biodiversity,0.36308396
Soybean meal,Germany,China,biodiversity,0.656282158
Soybean meal,Japan,China,biodiversity,0.308278534
Soybean meal,India,China,biodiversity,0.440528119
Soybean oil,Vietnam,Indonesia,biodiversity,0.135318614
Soybean oil,Ethiopia,Indonesia,biodiversity,0.413251442
Soybean oil,Iran,Indonesia,biodiversity,0.521083099
Soybean oil,Pakistan,Indonesia,biodiversity,0.674755388
Soybean oil,Brazil,Indonesia,biodiversity,0.504578595
Soybean oil,Vietnam,Philippines,biodiversity,0.434063977
Soybean oil,Ethiopia,Philippines,biodiversity,0.487182898
Soybean oil,Iran,Philippines,biodiversity,0.500624951
Soybean oil,Pakistan,Philippines,biodiversity,0.433134721
Soybean oil,Brazil,Philippines,biodiversity,0.827739081
Soy protein concentrate,Nigeria,Germany,biodiversity,0.420164725
Soy protein concentrate,Congo (DRC),Germany,biodiversity,0.579762305
Soy protein concentrate,Iran,Germany,biodiversity,0.385174407
Soy protein concentrate,Indonesia,Germany,biodiversity,0.28946572
Soy protein concentrate,Germany,Germany,biodiversity,0.600820764
Soy protein concentrate,Ethiopia,Germany,biodiversity,0.753552484
Soy protein concentrate,Nigeria,Egypt,biodiversity,0.586101045
Soy protein concentrate,Congo (DRC),Egypt,biodiversity,0.704382611
Soy protein concentrate,Iran,Egypt,biodiversity,0.084277253
Soy protein concentrate,Indonesia,Egypt,biodiversity,0.550580067
Soy protein concentrate,Germany,Egypt,biodiversity,0.217695747
Soy protein concentrate,Ethiopia,Egypt,biodiversity,0.979506248
Soy protein concentrate,Nigeria,Bangladesh,biodiversity,0.704949565
Soy protein concentrate,Congo (DRC),Bangladesh,biodiversity,0.601728231
Soy protein concentrate,Iran,Bangladesh,biodiversity,0.811385416
Soy protein concentrate,Indonesia,Bangladesh,biodiversity,0.801550656
Soy protein concentrate,Germany,Bangladesh,biodiversity,0.610744546
Soy protein concentrate,Ethiopia,Bangladesh,biodiversity,0.790850047
Soy protein concentrate,Nigeria,Turkey,biodiversity,0.468713622
Soy protein concentrate,Congo (DRC),Turkey,biodiversity,0.58083377
Soy protein concentrate,Iran,Turkey,biodiversity,0.528970097
Soy protein concentrate,Indonesia,Turkey,biodiversity,0.745409778
Soy protein concentrate,Germany,Turkey,biodiversity,0.74417362
Soy protein concentrate,Ethiopia,Turkey,biodiversity,0.325153092
Soy protein concentrate,Nigeria,Iran,biodiversity,0.481101322
Soy protein concentrate,Congo (DRC),Iran,biodiversity,0.802151584
Soy protein concentrate,Iran,Iran,biodiversity,0.342292974
Soy protein concentrate,Indonesia,Iran,biodiversity,0.230626835
Soy protein concentrate,Germany,Iran,biodiversity,0.574427301
Soy protein concentrate,Ethiopia,Iran,biodiversity,0.53167329
Soy protein concentrate,Nigeria,India,biodiversity,0.169052194
Soy protein concentrate,Congo (DRC),India,biodiversity,0.624149988
Soy protein concentrate,Iran,India,biodiversity,0.832911005
Soy protein concentrate,Indonesia,India,biodiversity,0.116123736
Soy protein concentrate,Germany,India,biodiversity,0.367982456
Soy protein concentrate,Ethiopia,India,biodiversity,0.476449554
Spirulina meal,China,Vietnam,biodiversity,0.678702083
Spirulina meal,Thailand,Vietnam,biodiversity,0.367573202
Spirulina meal,China,Turkey,biodiversity,0.384600115
Spirulina meal,Thailand,Turkey,biodiversity,0.714874105
Spirulina meal,China,Germany,biodiversity,0.222423668
Spirulina meal,Thailand,Germany,biodiversity,0.598480664
Spirulina meal,China,Brazil,biodiversity,0.581685612
Spirulina meal,Thailand,Brazil,biodiversity,0.220176826
Sunflower meal,Nigeria,Iran,biodiversity,-0.085269288
Sunflower meal,Pakistan,Iran,biodiversity,0.863141004
Sunflower meal,Germany,Iran,biodiversity,0.536221884
Sunflower meal,Japan,Iran,biodiversity,0.346581563
Sunflower meal,Mexico,Iran,biodiversity,0.509583999
Sunflower meal,Nigeria,Russia,biodiversity,0.507370617
Sunflower meal,Pakistan,Russia,biodiversity,0.531611191
Sunflower meal,Germany,Russia,biodiversity,0.712001755
Sunflower meal,Japan,Russia,biodiversity,0.335131783
Sunflower meal,Mexico,Russia,biodiversity,0.359413843
Sunflower meal,Nigeria,Mexico,biodiversity,0.416395782
Sunflower meal,Pakistan,Mexico,biodiversity,0.438934657
Sunflower meal,Germany,Mexico,biodiversity,0.532439784
Sunflower meal,Japan,Mexico,biodiversity,0.419433507
Sunflower meal,Mexico,Mexico,biodiversity,0.837670735
Sunflower meal,Nigeria,Bangladesh,biodiversity,0.297046601
Sunflower meal,Pakistan,Bangladesh,biodiversity,0.655590584
Sunflower meal,Germany,Bangladesh,biodiversity,0.323611758
Sunflower meal,Japan,Bangladesh,biodiversity,0.523261788
Sunflower meal,Mexico,Bangladesh,biodiversity,0.632892727
Wheat,Japan,Nigeria,biodiversity,0.689814397
Wheat,Ethiopia,Nigeria,biodiversity,0.524291398
Wheat,Vietnam,Nigeria,biodiversity,0.490663363
Wheat,United States,Nigeria,biodiversity,0.60073679
Wheat,Philippines,Nigeria,biodiversity,0.522527644
Wheat,Russia,Nigeria,biodiversity,0.446938512
Wheat,Japan,Turkey,biodiversity,0.27162244
Wheat,Ethiopia,Turkey,biodiversity,0.510459366
Wheat,Vietnam,Turkey,biodiversity,0.658504123
Wheat,United States,Turkey,biodiversity,0.762100421
Wheat,Philippines,Turkey,biodiversity,0.097042651
Wheat,Russia,Turkey,biodiversity,0.330989353
Wheat,Japan,Russia,biodiversity,0.433852537
Wheat,Ethiopia,Russia,biodiversity,0.91071935
Wheat,Vietnam,Russia,biodiversity,0.5476008
Wheat,United States,Russia,biodiversity,0.650766138
Wheat,Philippines,Russia,biodiversity,0.695473691
Wheat,Russia,Russia,biodiversity,0.564512252
Wheat,Japan,Mexico,biodiversity,0.932776472
Wheat,Ethiopia,Mexico,biodiversity,0.585682909
Wheat,Vietnam,Mexico,biodiversity,0.670506612
Wheat,United States,Mexico,biodiversity,0.44482007
Wheat,Philippines,Mexico,biodiversity,0.640269513
Wheat,Russia,Mexico,biodiversity,0.565073352
Wheat,Japan,Brazil,biodiversity,0.649958523
Wheat,Ethiopia,Brazil,biodiversity,0.227905411
Wheat,Vietnam,Brazil,biodiversity,0.593405319
Wheat,United States,Brazil,biodiversity,0.712922626
Wheat,Philippines,Brazil,biodiversity,0.355052381
Wheat,Russia,Brazil,biodiversity,0.5280537
Wheat,Japan,Bangladesh,biodiversity,0.535074847
Wheat,Ethiopia,Bangladesh,biodiversity,0.373064846
Wheat,Vietnam,Bangladesh,biodiversity,0.416819328
Wheat,United States,Bangladesh,biodiversity,0.215328578
Wheat,Philippines,Bangladesh,biodiversity,0.229997793
Wheat,Russia,Bangladesh,biodiversity,0.661462768
Wheat gluten,Egypt,Russia,biodiversity,0.743826322
Wheat gluten,Thailand,Russia,biodiversity,0.045948751
Wheat gluten,Turkey,Russia,biodiversity,0.956723856
Wheat gluten,Congo (DRC),Russia,biodiversity,0.843935116
Wheat gluten,Egypt,China,biodiversity,0.386939365
Wheat gluten,Thailand,China,biodiversity,0.532879196
Wheat gluten,Turkey,China,biodiversity,0.190851432
Wheat gluten,Congo (DRC),China,biodiversity,0.477285102
Wheat gluten,Egypt,Philippines,biodiversity,0.632205565
Wheat gluten,Thailand,Philippines,biodiversity,0.68319708
Wheat gluten,Turkey,Philippines,biodiversity,0.035883543
Wheat gluten,Congo (DRC),Philippines,biodiversity,0.186456708
Wheat gluten,Egypt,Iran,biodiversity,0.487310346
Wheat gluten,Thailand,Iran,biodiversity,0.860080638
Wheat gluten,Turkey,Iran,biodiversity,0.58721318
Wheat gluten,Congo (DRC),Iran,biodiversity,0.536728621
Yeast meal,Pakistan,Russia,biodiversity,0.390717837
Yeast meal,China,Russia,biodiversity,0.533217568
Yeast meal,Thailand,Russia,biodiversity,0.38376157
Yeast meal,Ethiopia,Russia,biodiversity,0.580518435
Yeast meal,Japan,Russia,biodiversity,0.961487559
Yeast meal,United States,Russia,biodiversity,0.515844494
Yeast meal,Pakistan,Ethiopia,biodiversity,0.519432265
Yeast meal,China,Ethiopia,biodiversity,0.296581382
Yeast meal,Thailand,Ethiopia,biodiversity,0.343268926
Yeast meal,Ethiopia,Ethiopia,biodiversity,0.156486776
Yeast meal,Japan,Ethiopia,biodiversity,0.503982159
Yeast meal,United States,Ethiopia,biodiversity,0.278929377
Yeast meal,Pakistan,Philippines,biodiversity,0.519298948
Yeast meal,China,Philippines,biodiversity,0.408220325
Yeast meal,Thailand,Philippines,biodiversity,0.291500505
Yeast meal,Ethiopia,Philippines,biodiversity,0.559847114
Yeast meal,Japan,Philippines,biodiversity,0.676561806
Yeast meal,United States,Philippines,biodiversity,0.35774696
Microingredients,Indonesia,Ethiopia,biodiversity,0.495083843
Microingredients,Iran,Ethiopia,biodiversity,0.543502338
Microingredients,Egypt,Ethiopia,biodiversity,0.230733153
Microingredients,Turkey,Ethiopia,biodiversity,0.64822969
Microingredients,Vietnam,Ethiopia,biodiversity,0.76632495
Microingredients,Indonesia,United States,biodiversity,0.482756372
Microingredients,Iran,United States,biodiversity,0.292409401
Microingredients,Egypt,United States,biodiversity,0.419994387
Microingredients,Turkey,United States,biodiversity,0.657297981
Microingredients,Vietnam,United States,biodiversity,0.833741109
Microingredients,Indonesia,Germany,biodiversity,0.613369049
Microingredients,Iran,Germany,biodiversity,0.266087149
Microingredients,Egypt,Germany,biodiversity,0.483535188
Microingredients,Turkey,Germany,biodiversity,0.207627854
Microingredients,Vietnam,Germany,biodiversity,0.632357555
Black soldier-fly meal,Turkey,Indonesia,disturbance,0.507884922
Black soldier-fly meal,India,Indonesia,disturbance,0.612059642
Black soldier-fly meal,Germany,Indonesia,disturbance,0.589145886
Black soldier-fly meal,Egypt,Indonesia,disturbance,0.557847445
Black soldier-fly meal,China,Indonesia,disturbance,0.405118852
Black soldier-fly meal,Turkey,Iran,disturbance,0.616861361
Black soldier-fly meal,India,Iran,disturbance,0.554927406
Black soldier-fly meal,Germany,Iran,disturbance,0.76921931
Black soldier-fly meal,Egypt,Iran,disturbance,0.617949889
Black soldier-fly meal,China,Iran,disturbance,0.627629232
Black soldier-fly meal,Turkey,Pakistan,disturbance,0.61901629
Black soldier-fly meal,India,Pakistan,disturbance,0.311154275
Black soldier-fly meal,Germany,Pakistan,disturbance,0.226614557
Black soldier-fly meal,Egypt,Pakistan,disturbance,0.546659865
Black soldier-fly meal,China,Pakistan,disturbance,0.345785689
Canola oil,Philippines,Indonesia,disturbance,0.772628812
Canola oil,Nigeria,Indonesia,disturbance,0.380345406
Canola oil,Philippines,Philippines,disturbance,0.503405704
Canola oil,Nigeria,Philippines,disturbance,0.41600125
Canola oil,Philippines,United States,disturbance,0.662456249
Canola oil,Nigeria,United States,disturbance,0.136896945
Canola oil,Philippines,Turkey,disturbance,0.634361519
Canola oil,Nigeria,Turkey,disturbance,0.42496746
Chicken protein concentrate,Egypt,Iran,disturbance,0.67753127
Chicken protein concentrate,Thailand,Iran,disturbance,0.586466718
Chicken protein concentrate,Turkey,Iran,disturbance,0.648139605
Chicken protein concentrate,China,Iran,disturbance,0.471635905
Chicken protein concentrate,Russia,Iran,disturbance,0.53635484
Chicken protein concentrate,Egypt,Congo (DRC),disturbance,0.490195044
Chicken protein concentrate,Thailand,Congo (DRC),disturbance,0.448690091
Chicken protein concentrate,Turkey,Congo (DRC),disturbance,0.615351396
Chicken protein concentrate,China,Congo (DRC),disturbance,0.452247995
Chicken protein concentrate,Russia,Congo (DRC),disturbance,0.479576689
Chicken protein concentrate,Egypt,Indonesia,disturbance,0.726224916
Chicken protein concentrate,Thailand,Indonesia,disturbance,0.564401693
Chicken protein concentrate,Turkey,Indonesia,disturbance,0.669485984
Chicken protein concentrate,China,Indonesia,disturbance,0.183512172
Chicken protein concentrate,Russia,Indonesia,disturbance,0.501327702
Chicken protein concentrate,Egypt,Turkey,disturbance,0.699540526
Chicken protein concentrate,Thailand,Turkey,disturbance,0.673918367
Chicken protein concentrate,Turkey,Turkey,disturbance,0.350178171
Chicken protein concentrate,China,Turkey,disturbance,0.756521065
Chicken protein concentrate,Russia,Turkey,disturbance,0.153809551
Chicken protein concentrate,Egypt,Thailand,disturbance,0.422086587
Chicken protein concentrate,Thailand,Thailand,disturbance,0.350124981
Chicken protein concentrate,Turkey,Thailand,disturbance,0.603345372
Chicken protein concentrate,China,Thailand,disturbance,-0.006758014
Chicken protein concentrate,Russia,Thailand,disturbance,0.623545239
Coconut oil,China,Brazil,disturbance,0.393129678
Coconut oil,Iran,Brazil,disturbance,0.641673577
Coconut oil,Vietnam,Brazil,disturbance,0.692825731
Coconut oil,Japan,Brazil,disturbance,0.928425632
Coconut oil,United States,Brazil,disturbance,0.359691661
Coconut oil,Mexico,Brazil,disturbance,0.525586806
Coconut oil,China,Egypt,disturbance,0.506772333
Coconut oil,Iran,Egypt,disturbance,0.237633328
